version,url,sha,beta
0.11.12-beta1,https://releases.hashicorp.com/terraform/0.11.12-beta1/terraform_0.11.12-beta1_linux_amd64.zip,5a8c4f734ae58a3b2583d9b93c619fe7ab0e7b76c5a7d51ecc956166fb279258,true
0.11.5,https://releases.hashicorp.com/terraform/0.11.5/terraform_0.11.5_linux_amd64.zip,131c440263382c79c7f783b70ff35cd1d03eb31c44f7738d153d95a0b8436ac9,false
0.10.4,https://releases.hashicorp.com/terraform/0.10.4/terraform_0.10.4_linux_amd64.zip,cff83f669d0e4ac315e792a57659d5aae8ea1fcfdca6931c7cc4679b4e6c60e3,false
1.0.9,https://releases.hashicorp.com/terraform/1.0.9/terraform_1.0.9_linux_amd64.zip,f06ac64c6a14ed6a923d255788e4a5daefa2b50e35f32d7a3b5a2f9a5a91e255,false
0.12.20,https://releases.hashicorp.com/terraform/0.12.20/terraform_0.12.20_linux_amd64.zip,46bd906f8cb9bbb871905ecb23ae7344af8017d214d735fbb6d6c8e0feb20ff3,false
0.9.10,https://releases.hashicorp.com/terraform/0.9.10/terraform_0.9.10_linux_amd64.zip,77f0d01182d665f7f3c63c326aa699b452fba043c2e2f9050c4bd114f98a1207,false
0.13.0-beta3,https://releases.hashicorp.com/terraform/0.13.0-beta3/terraform_0.13.0-beta3_linux_amd64.zip,f842254756616d1ef90c06e611a1d4cc209ee250473d3ab123b1f6bfb03bd724,true
0.7.11,https://releases.hashicorp.com/terraform/0.7.11/terraform_0.7.11_linux_amd64.zip,1a1aa419d614ea38d93cc751e00874ace9414184c75e66480384c464e8a634db,false
1.1.0-alpha20210630,https://releases.hashicorp.com/terraform/1.1.0-alpha20210630/terraform_1.1.0-alpha20210630_linux_amd64.zip,5c62781f675361f3dbaa80ad65829f1a01302f7c15ac007892ae246e0f6dead7,false
1.0.2,https://releases.hashicorp.com/terraform/1.0.2/terraform_1.0.2_linux_amd64.zip,7329f887cc5a5bda4bedaec59c439a4af7ea0465f83e3c1b0f4d04951e1181f4,false
0.15.0-beta1,https://releases.hashicorp.com/terraform/0.15.0-beta1/terraform_0.15.0-beta1_linux_amd64.zip,b96d9bd0df800ce9e6d8b3b10c2aba491980a123c4c04a32049769247c9af76a,true
0.14.0-alpha20200910,https://releases.hashicorp.com/terraform/0.14.0-alpha20200910/terraform_0.14.0-alpha20200910_linux_amd64.zip,d18e0ccbe20a594a8c477526c1850c625b5c06dfd3d49c36c1ff35f1b83e777d,false
0.12.27,https://releases.hashicorp.com/terraform/0.12.27/terraform_0.12.27_linux_amd64.zip,6842303730775ceaeebf73d5f187fb77c194e3825fa1dfd6f879bc4dae3b798b,false
0.12.6,https://releases.hashicorp.com/terraform/0.12.6/terraform_0.12.6_linux_amd64.zip,6544eb55b3e916affeea0a46fe785329c36de1ba1bdb51ca5239d3567101876f,false
0.6.5,https://releases.hashicorp.com/terraform/0.6.5/terraform_0.6.5_linux_amd64.zip,29618f11e9af410e4ed69d79084c33ad5faa3f475651556e039bb27ff69b3c74,false
0.13.3,https://releases.hashicorp.com/terraform/0.13.3/terraform_0.13.3_linux_amd64.zip,35c662be9d32d38815cde5fa4c9fa61a3b7f39952ecd50ebf92fd1b2ddd6109b,false
0.13.2,https://releases.hashicorp.com/terraform/0.13.2/terraform_0.13.2_linux_amd64.zip,6c1c6440c5cb199e85926aea65773450564f501fddcd7876f453ba95b45ba746,false
0.12.31,https://releases.hashicorp.com/terraform/0.12.31/terraform_0.12.31_linux_amd64.zip,e5eeba803bc7d8d0cae7ef04ba7c3541c0abd8f9e934a5e3297bf738b31c5c6d,false
0.12.0-beta1,https://releases.hashicorp.com/terraform/0.12.0-beta1/terraform_0.12.0-beta1_linux_amd64.zip,3ca1a3126e17bbe8cf8aa677ff39f8b7a5cff71de91fa9286c3c7cacebba78e6,true
1.1.0-beta1,https://releases.hashicorp.com/terraform/1.1.0-beta1/terraform_1.1.0-beta1_linux_amd64.zip,a78c3cba635b504ae2f261f5d112243a98ae6203f018af32385b4e2e1e673093,true
1.0.5,https://releases.hashicorp.com/terraform/1.0.5/terraform_1.0.5_linux_amd64.zip,7ce24478859ab7ca0ba4d8c9c12bb345f52e8efdc42fa3ef9dd30033dbf4b561,false
0.15.0-alpha20210107,https://releases.hashicorp.com/terraform/0.15.0-alpha20210107/terraform_0.15.0-alpha20210107_linux_amd64.zip,4dacde757b7fe81fdda36779cce5cd9d5123d4fbbec546551f9d2dac71dde39c,false
0.14.4,https://releases.hashicorp.com/terraform/0.14.4/terraform_0.14.4_linux_amd64.zip,042f1f4fb47696b3442eca12bce7cce6de0b477b299503ddad6b8bc3777a54b5,false
0.14.0-alpha20200923,https://releases.hashicorp.com/terraform/0.14.0-alpha20200923/terraform_0.14.0-alpha20200923_linux_amd64.zip,1e5f7a5f3ade7b8b1d1d59c5cea2e1a2f8d2f8c3f41962dbbe8647e222be8239,false
0.12.30,https://releases.hashicorp.com/terraform/0.12.30/terraform_0.12.30_linux_amd64.zip,a646b61232ac0c400ec8cc2c062f4e36b5a9e8515f11f7f5f61eb03fe058f18d,false
0.12.15,https://releases.hashicorp.com/terraform/0.12.15/terraform_0.12.15_linux_amd64.zip,2acb99936c32f04d0779c3aba3552d6d2a1fa32ed63cbca83a84e58714f22022,false
0.9.7,https://releases.hashicorp.com/terraform/0.9.7/terraform_0.9.7_linux_amd64.zip,df6aecbddca9ea4e0f32290ed5efb92c1b4173d8afd1d95470424f635c41d242,false
0.7.6,https://releases.hashicorp.com/terraform/0.7.6/terraform_0.7.6_linux_amd64.zip,86ccdc048295dcc47f0a3611e39226b8961e08bdfa2969f495c89591c62fd2ed,false
0.13.5,https://releases.hashicorp.com/terraform/0.13.5/terraform_0.13.5_linux_amd64.zip,f7b7a7b1bfbf5d78151cfe3d1d463140b5fd6a354e71a7de2b5644e652ca5147,false
0.12.17,https://releases.hashicorp.com/terraform/0.12.17/terraform_0.12.17_linux_amd64.zip,8124c7dfe5036377de0637378ad32cf530477403c29ab1ccefbaa50a05d059c2,false
0.12.3,https://releases.hashicorp.com/terraform/0.12.3/terraform_0.12.3_linux_amd64.zip,75e4323b8514074f8c2118ea382fc677c8b1d1730eda323ada222e0fac57f7db,false
0.11.15,https://releases.hashicorp.com/terraform/0.11.15/terraform_0.11.15_linux_amd64.zip,e6c8c884de6c353cf98252c5e11faf972d4b30b5d070ab5ff70eaf92660a5aac,false
0.6.14,https://releases.hashicorp.com/terraform/0.6.14/terraform_0.6.14_linux_amd64.zip,6d93290f980df15a453e907ea9a2ca8f8fed41143c220953c911b5174c3e3ab0,false
0.12.14,https://releases.hashicorp.com/terraform/0.12.14/terraform_0.12.14_linux_amd64.zip,8db6b396eb2626f18bf5e98af824645bb96d8290e2ab761b2dace3a2574b8cee,false
0.9.4,https://releases.hashicorp.com/terraform/0.9.4/terraform_0.9.4_linux_amd64.zip,cc1cffee3b82820b7f049bb290b841762ee920aef3cf4d95382cc7ea01135707,false
0.8.5,https://releases.hashicorp.com/terraform/0.8.5/terraform_0.8.5_linux_amd64.zip,4b4324e354c26257f0b830eacb0e7cc7e2ced017d78855f74cb9377f1abf1dd7,false
0.8.1,https://releases.hashicorp.com/terraform/0.8.1/terraform_0.8.1_linux_amd64.zip,da98894a79b7e97ddcb2a1fed7700d3f53c3660f294fb709e1d52c9baaee5c59,false
0.6.11,https://releases.hashicorp.com/terraform/0.6.11/terraform_0.6.11_linux_amd64.zip,f451411db521fc4d22c9fe0c80105cf028eb8df0639bac7c1e781880353d9a5f,false
0.15.2,https://releases.hashicorp.com/terraform/0.15.2/terraform_0.15.2_linux_amd64.zip,6d4780cbbe49f2d49eb49e8d7a90f5b8d5beec7e64d80d3f8eb0c6e19156a26b,false
0.12.25,https://releases.hashicorp.com/terraform/0.12.25/terraform_0.12.25_linux_amd64.zip,e95daabd1985329f87e6d40ffe7b9b973ff0abc07a403f767e8658d64d733fb0,false
0.12.0,https://releases.hashicorp.com/terraform/0.12.0/terraform_0.12.0_linux_amd64.zip,42ffd2db97853d5249621d071f4babeed8f5fdba40e3685e6c1013b9b7b25830,false
